ducc_info,test_flag,ba_abbreviation
"{""clientName"":""刚果布索瑞米项目"",""clientCode"":""U9MOCbRLhFswibYyPFye"",""contractCode"":""ISPG-20240318193831"",""ebsContractCode"":""EKA20230012275"",""pin"":""索瑞米采购01"",""country"":""CN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""stations"":[1],""excludeDefaultVatFlag"":true,""tradeRoute"":10,""storeId"":24682489,""iopPin"":""广州晶东-A1"",""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""shippingMark"":""GGBSM"",""orderMap"":{""closePriceConfirm"":""0""},""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,其他 - 中国黄金
"{""clientName"":""泰国公域比价"",""clientCode"":""3gtaPXrdqUPUbWJ51piQ"",""contractCode"":""ISPG-20240409201539"",""pin"":""public_Thai"",""country"":""TH"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""THB"",""stations"":[1],""excludeDefaultVatFlag"":true,""tradeRoute"":2295,""storeId"":24688209,""iopPin"":""JDi_Thailand1"",""openArea"":""th"",""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""shippingMark"":""TGGYBJ"",""orderMap"":{""closePriceConfirm"":""0""},""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,泰国 - 预选池
"{""clientName"":""比亚迪香港项目"",""clientCode"":""DFmJaHL5Dqgoqzjud9y9"",""contractCode"":""ISPG-20240509142602"",""ebsContractCode"":""EKA20240007772"",""pin"":""BYD_HK_01"",""country"":""CN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""CNY"",""stations"":[1],""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""excludeDefaultVatFlag"":true,""iopPin"":""广州晶东-A1"",""tradeRoute"":10,""sellerErp"":""wangyanbin10"",""periodType"":1,""prepaymentRatio"":0,""finalPaymentPeriod"":90,""storeId"":24682489,""shippingMark"":""JDICN-HKBYD"",""language"":{""zh"":""中文"",""en"":""English""},""countryNameMap"":{""zh"":""跨境站"",""en"":""cross-border station""}}",0,香港 - 比亚迪
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""工业越南EPE测试"",""clientCode"":""1k68N7k9TEQcu71CEF6A"",""contractCode"":""ISPG-20240701183952"",""pin"":""EPEPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""EPE-TEST"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""广州晶东-A1"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""}}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""柏诚越南"",""clientCode"":""lE2Mis6jH2PAcqHVeGTF"",""contractCode"":""ISPG-20240614122740"",""ebsContractCode"":""2024A0128913"",""pin"":""BothPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-BCYN"",""companyType"":""2"",""orderMap"":{""closePriceConfirm"":""1""},""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH K? THU?T C?NG NGH? BOTH (VIETNAM)"",""customerAddress"":""T?ng 1 s? 37 ???ng Ng? S? Liên, Khu Th? Chung, Ph??ng Kinh B?c, Thành ph? B?c Ninh, T?nh B?c Ninh"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""柏诚工程技术（越南）有限公司"",""customerNameEn"":""BOTH (VN) ENGINEERING TECHNOLOGY COMPANY LIMITED"",""customerTax"":""2301256841"",""customerServiceStart"":""2024-06-14"",""customerServiceEnd"":""2025-06-13""}",0,越南 - 柏诚
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""得力（越南）有限公司"",""clientCode"":""WPdUErfnuwkY6HwLxRax"",""briefCode"":""DLC"",""contractCode"":""ISPG-20240625120549"",""ebsContractCode"":""EKA20240012389"",""pin"":""DeliPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-DLC"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameZh"":""得力（越南）有限公司"",""customerNameEn"":""DELI VIETNAM COMPANY LIMITED"",""customerNameVn"":""C?NG TY TNHH DELI VI?T NAM"",""customerTax"":""2301075570"",""customerAddress"":""L? CN06-4 và CN13-2, KCN Yên Phong (khu m? r?ng), X? Yên Tru, X? D?ng Li?t, Huy?n Yên Phong, B?c Ninh"",""customerServiceStart"":""2024-06-28"",""customerServiceEnd"":""2025-06-27"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam""}",0,越南 - 得力
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""C?NG TY TNHH RR DONNELLEY (B?C NINH)"",""clientCode"":""2KhcGA3C7lIZ7iqKcS4I"",""briefCode"":""RRD"",""contractCode"":""ISPG-20240726125608"",""ebsContractCode"":"""",""pin"":""RRD-Purchasing"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-RRD"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH RR DONNELLEY (B?C NINH)"",""customerAddress"":""Nhà x??ng s? 1,L? CN 18A-2 KCN Qu? V? III,Ph??ng Phù L??ng,Th? x? Qu? V?,T?nh B?c Ninh, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerTax"":""2301242648"",""customerServiceStart"":""2024-08-01"",""customerServiceEnd"":""2025-07-31""}",0,越南 - 当纳利
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""国际匈牙利业务部测试"",""clientCode"":""bOyA6Ndlu2AITzzUOH0G"",""briefCode"":"""",""contractCode"":""ISPG-20240731155652"",""ebsContractCode"":"""",""pin"":""国际-匈牙利测试"",""country"":""HU"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""stations"":[0],""saleCurrency"":""EUR"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""excludeDefaultVatFlag"":true,""shippingMark"":"""",""storeId"":24682489,""iopPin"":""广州晶东-A1"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""hu"":""Magyar""},""countryNameMap"":{""zh"":""匈牙利站"",""hu"":""Magyarországi pályaudvar""}}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""创新精密（越南）有限公司"",""clientCode"":""GRpFOHxhHRCRdJoz46bl"",""briefCode"":""DLC"",""contractCode"":""ISPG-20240802153332"",""ebsContractCode"":""EKA2024A0375977"",""pin"":""CXJMPurchasing1"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-DLC"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH INNOVATION PRECISION VI?T NAM"",""customerAddress"":""S? 3, ???ng s? 4, Khu C?ng nghi?p VSIP Ngh? An, X? H?ng T?y, Huy?n H?ng Nguyên, T?nh Ngh? An, Vi?t N"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""创新精密（越南）有限公司"",""customerNameEn"":""C?NG TY TNHH INNOVATION PRECISION VI?T NAM"",""customerTax"":""2902171670"",""customerServiceStart"":""2024-08-06"",""customerServiceEnd"":""2025-08-05""}",0,越南 - 创新精密
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""欣旺达越南有限责任公司"",""clientCode"":""ZXyu1A1SeEuRQDQpL0Fg"",""briefCode"":""SWD"",""contractCode"":""ISPG-20240815124016"",""ebsContractCode"":"""",""pin"":""SWD-Purchasing"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIVN-SWD"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""VNKUAJING"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""},""customerNameVn"":""C?NG TY TNHH SUNWODA VI?T NAM"",""customerAddress"":""M?t ph?n L? CNSG - 04 (Thuê nhà x??ng c?a CTy TNHH s?n xu?t và d?ch v? Song Th?nh) KCN V?n Trung, Ph??ng V?n Trung, Th? x? Vi?t Yên,T?nh B?c Giang, Vi?t Nam"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""欣旺达越南有限责任公司"",""customerNameEn"":""SUNWODA VIET NAM COMPANY LIMITED"",""customerTax"":""2400960336"",""customerServiceStart"":""2024-08-14"",""customerServiceEnd"":""2025-08-13""}",0,越南 - 欣旺达
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""国际巴西业务部测试"",""clientCode"":""uDFnyS3iUOBc3D1EP1XP"",""briefCode"":""BYD AUTO DO BRASIL LTDA"",""contractCode"":""ISPG-20240818124409"",""ebsContractCode"":"""",""pin"":""BR-BYD采购账号"",""country"":""BR"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""BRL"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDI-BYD AUTO DO BRASIL LTDA"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""巴西工业内贸段"",""hoursOfAutoFinish"":999,""language"":{""zh"":""中文"",""en"":""English"",""pt_BR"":""Português Brasileiro""},""countryNameMap"":{""zh"":""巴西站"",""en"":""Brazil Station"",""pt_BR"":""Esta??o Brasil""},""customerNameVn"":"""",""customerAddress"":""Av. Henry Ford - Polo Petroquímico, Cama?ari, 42.816-260, BAHIA, BRASIL"",""jdContractName"":""C?NG TY TNHH CHU?I CUNG ?NG C?NG NGHI?P JINGDONG (VI?T NAM)"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""国际巴西业务部测试"",""customerNameEn"":""BYD AUTO DO BRASIL LTDA"",""customerTax"":""50.351.104/0001-19"",""customerServiceStart"":"""",""customerServiceEnd"":""""}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""FDI账号测试"",""clientCode"":""yZcQbjmJhpu2fEorznOr"",""contractCode"":""ISPG-20240702114421"",""pin"":""FDIPurchasing2"",""country"":""VN"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""FDIT"",""briefCode"":""FDIT"",""companyType"":""2"",""wispOrderListShowStatus"":[1,2,3,4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""0""},""storeId"":24682489,""iopPin"":""广州晶东-A1"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""vi"":""Ti?ng Vi?t""},""countryNameMap"":{""zh"":""越南站"",""vi"":""Trang Vi?t Nam""}}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""国际马来西亚业务部测试"",""clientCode"":""Ecxuc4ikyNadhZNKUQ6z"",""briefCode"":""MLXY-TEST"",""contractCode"":""ISPG-20240816182832"",""ebsContractCode"":""123456"",""pin"":""大马伟创力TEST"",""country"":""MY"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""MYR"",""stations"":[0],""excludeDefaultVatFlag"":true,""shippingMark"":""JDI-MLXY-TEST"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""JDi马来内贸段交易"",""hoursOfAutoFinish"":999,""language"":{""zh"":""中文"",""en"":""English"",""ms"":""Melayu""},""countryNameMap"":{""zh"":""马来西亚站"",""en"":""Malaysia Station"",""ms"":""Stesen Malaysia""},""customerNameVn"":""Flextronics Technology Penang Sdn Bhd"",""customerAddress"":""1"",""jdContractName"":""JINGDONG INDUSTRIALS MALAYSIA SDN. BHD."",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""国际马来西亚业务部测试"",""customerNameEn"":""Flextronics Technology Penang Sdn Bhd"",""customerTax"":""199001010222 (201794-V)"",""customerServiceStart"":""2024-01-01"",""customerServiceEnd"":""2099-01-01""}",1,暂无
"{""payType"":""1"",""tradeTerms"":""DDP"",""clientName"":""比亚迪汽车巴西有限公司（圣保罗州）"",""clientCode"":""rmdzq8wBozUSSQNhZjT5"",""briefCode"":""BYD_BR_SP"",""contractCode"":""ISPG-20240808170907"",""ebsContractCode"":""EKA2024A2780005"",""pin"":""BYDBRPurchasing1"",""country"":""BR"",""openSubscribeFlag"":false,""taxCheckFlag"":false,""saleCurrency"":""BRL"",""stations"":[0],""excludeDefaultVatFlag"":false,""shippingMark"":""JDIBR-BYD_BR_SP"",""companyType"":""2"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1"",""autoConfirmLocalOrder"":false,""autoConfirmStockUpOrder"":false,""autoConfirmCrossBorderOrder"":false,""paymentChannel"":""accountPeriod"",""jcAgencyCode"":""10588""},""storeId"":24682489,""iopPin"":""巴西工业内贸段"",""iopId"":""6"",""hoursOfAutoFinish"":168,""language"":{""zh"":""中文"",""en"":""English"",""pt-BR"":""Português""},""countryNameMap"":{""zh"":""巴西站"",""en"":""Brazil Station"",""pt-BR"":""Esta??o Brasil""},""customerNameVn"":"""",""customerAddress"":""Av. Henry Ford - Polo Petroquímico, Cama?ari, 42.816-260, BAHIA, BRASIL"",""customerNameZh"":""比亚迪汽车巴西有限公司（圣保罗州）"",""customerNameEn"":""BYD AUTO DO BRASIL LTDA（SP)"",""jdContractName"":""JINGDONG INDUSTRIALS DO BRASIL LTDA"",""jdContractAddress"":"""",""customerTax"":""50.351.104/0001-19"",""customerServiceStart"":""2024-11-10"",""customerServiceEnd"":""2026-11-09"",""xbpOrderCompletedApprover"":{""审批人1"":""liudaojin1"",""审批人2"":""zhoujuan58"",""审批人3"":""huangjingjing21""},""merchantId"":""10170""}",0,巴西 - 比亚迪（圣保罗州）
"{""payType"":""1"",""tradeTerms"":""DAP"",""clientName"":""BYD Electronics (Vietnam) Company Limited"",""clientCode"":""vdGrWTriVm2Zczz21Occ"",""briefCode"":""BYDE"",""contractCode"":""ISPG-20240712181502"",""ebsContractCode"":""2024A0128913"",""pin"":""BYDParallel"",""country"":""VN"",""openSubscribeFlag"":true,""taxCheckFlag"":false,""saleCurrency"":""VND"",""stations"":[0],""excludeDefaultVatFlag"":true,""shippingMark"":""JDIVN-BYDE"",""companyType"":""1"",""wispOrderListShowStatus"":[4,80,90,5,99],""orderMap"":{""closePriceConfirm"":""1""},""storeId"":24682489,""iopPin"":""VNKUAJING"",""hoursOfAutoFinish"":120,""language"":{""zh"":""中文"",""en"":""英文""},""countryNameMap"":{""zh"":""越南站"",""en"":""Vietnam Station""},""customerNameVn"":""C?NG TY TNHH ?I?N T? BYD (VI?T NAM)"",""customerAddress"":""L? CN - 2A, Khu c?ng nghi?p Phú Hà, X? Hà L?c, Th? x? Phú Th?, T?nh Phú Th?, Vi?t Nam"",""jdContractName"":""EKA20240012921"",""jdContractAddress"":""L15-01, Tòa nhà Century Tower, s? 458 ???ng Minh Khai, Ph??ng V?nh Tuy, Qu?n Hai Bà Tr?ng, Thành ph? Hà N?i, Vi?t Nam"",""customerNameZh"":""比亚迪电子（越南）有限公司"",""customerNameEn"":""BYD Electronics (Vietnam) Company Limited"",""customerTax"":""2601065943"",""customerServiceStart"":""2024-06-11"",""customerServiceEnd"":""2025-06-10""}",0,越南 - 比亚迪
